,Description,total_sales,total_revenue
0,  DOORMAT UNION JACK GUNS AND ROSES,167,1071.25
1, 3 STRIPEY MICE FELTCRAFT,662,1241.1
2, 4 PURPLE FLOCK DINNER CANDLES,324,495.15999999999997
3, 50'S CHRISTMAS GIFT BAG LARGE,1885,2272.25
4, ANIMAL STICKERS,385,80.85
5, BLACK PIRATE TREASURE CHEST,45,74.25
6, BROWN  PIRATE TREASURE CHEST ,36,59.39999999999999
7, Bank Charges,2,30.0
8, CAMPHOR WOOD PORTOBELLO MUSHROOM,43,53.75
9, CHERRY BLOSSOM  DECORATIVE FLASK,308,1068.6000000000001
10, DOLLY GIRL BEAKER,2394,2754.5
11, FAIRY CAKE CANDLES,153,202.05
12, FLAMINGO LIGHTS,359,1523.8500000000001
13, HOME SWEET HOME  BLACKBOARD,117,722.31
14, I LOVE LONDON MINI BACKPACK,359,1449.8500000000001
15, I LOVE LONDON MINI RUCKSACK,1,4.15
16, IVORY PAPER CUP CAKE CASES ,1146,521.1
17, LARGE SKULL WINDMILL,8,16.8
18, NEW BAROQUE BLACK BOXES,6,76.5
19, NINE DRAWER OFFICE TIDY,54,777.9
20, OVAL WALL MIRROR DIAMANTE ,140,1239.05
21, PAINT YOUR OWN CANVAS SET,480,724.8
22, PEACE WOODEN BLOCK LETTERS,133,917.15
23, RED SPOT GIFT BAG LARGE,1686,2023.5
24, RED/WHITE DOT MINI CASES,478,3528.18
25, RIDGED GLASS T-LIGHT HOLDER,940,531.8000000000001
26, SET 2 TEA TOWELS I LOVE LONDON ,3511,9726.85
27, SET Of 6 SOLDIER SKITTLES,16,60.0
28, SILVER CHERRY LIGHTS,264,1594.8000000000002
29, SILVER T-LIGHT SETTING,37,240.15
30, SPACEBOY BABY GIFT SET,449,7048.549999999999
31, STAR  T-LIGHT HOLDER ,20,28.999999999999996
32, TOADSTOOL BEDSIDE LIGHT ,2,17.9
33, TRELLIS COAT RACK,217,1016.5500000000001
